NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,NVAR,Av_Best,Peak_Best,Fit_Var,Fit_var
50,0,0.5,0,0,0,15.2586412865149,14.0088923193325,0,0.650797138229839
50,0,0.5,0,1,0,8.46223153573701,7.69839440092367,0,0.135140020800035
50,0,0.5,0.05,0,0,14.4027668590485,12.9824022699658,0,0.624125612225731
50,0,0.5,0.05,1,0,7.6091245538571,6.82084909528361,0,0.210646167076026
50,0,0.5,0.2,0,0,14.8469942699997,13.5936601561419,0,0.393418822860033
50,0,0.5,0.2,1,0,8.05799904366906,7.33416463261842,0,0.1140340996321
50,0,0.9,0,0,0,16.7477514120846,16.1099041384025,0,0.11691810812819
50,0,0.9,0,1,0,9.00398638968366,8.39827957768873,0,0.102695539279745
50,0,0.9,0.05,0,0,16.7746421189908,16.1666128501331,0,0.148185377076918
50,0,0.9,0.05,1,0,9.19222671320569,8.1135122754978,0,0.128686286327947
50,0,0.9,0.2,0,0,16.8327400154777,16.4597656967969,0,0.109354450817145
50,0,0.9,0.2,1,0,9.29997460236338,8.88488835335945,0,0.0680963284186637
50,0,1,0,0,0,16.8692063893002,16.3483658897118,0,0.111731921897021
50,0,1,0,1,0,9.85459271889033,9.20514050248211,0,0.0722594095989042
50,0,1,0.05,0,0,16.9643140304553,16.1863951966259,0,0.137007325690009
50,0,1,0.05,1,0,9.944751028956,8.76796585338588,0,0.183990524617704
50,0,1,0.2,0,0,17.0354616681331,16.0880303160074,0,0.128294348351391
50,0,1,0.2,1,0,9.86638855372628,8.94080393624119,0,0.193685411773116
50,0.05,0.5,0,0,0,15.2010800878626,12.9293805190147,0,0.991017504506409
50,0.05,0.5,0,1,0,8.93145530917129,8.25551606805131,0,0.252863280404369
50,0.05,0.5,0.05,0,0,12.2693506397325,11.3221628063965,0,0.248661710753802
50,0.05,0.5,0.05,1,0,7.12557799065148,6.28735887315631,0,0.366160607495586
50,0.05,0.5,0.2,0,0,11.7678997647596,10.4323661473902,0,0.354114784525654
50,0.05,0.5,0.2,1,0,6.3594716665153,5.49782396145949,0,0.255139831672833
50,0.05,0.9,0,0,0,15.8071353317064,14.4340204495375,0,0.304246378193629
50,0.05,0.9,0,1,0,8.72320299902604,7.89286781988814,0,0.146517741450216
50,0.05,0.9,0.05,0,0,15.3367433518843,14.3278625912505,0,0.204505530387319
50,0.05,0.9,0.05,1,0,8.74070534330818,7.80619820196046,0,0.1333611487134
50,0.05,0.9,0.2,0,0,15.4764317722792,14.4838272584718,0,0.233230332128084
50,0.05,0.9,0.2,1,0,8.52061823183996,7.47050285977154,0,0.157783265844399
50,0.05,1,0,0,0,15.9089871974195,15.1328301625498,0,0.117594023734323
50,0.05,1,0,1,0,9.32481225325105,8.15854595998765,0,0.266524264112898
50,0.05,1,0.05,0,0,15.8333200190216,14.6504822481701,0,0.33711191272479
50,0.05,1,0.05,1,0,9.31553256999496,8.36479244513783,0,0.22027680327973
50,0.05,1,0.2,0,0,15.8166004339828,14.9952073415711,0,0.229179986031961
