NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,NVAR,Av_Best,Peak_Best,Fit_Var,Fit_var
50,0,0.5,0,0,0,10.4715662588381,9.48756331838119,0,0.393154014100778
50,0,0.5,0,1,0,6.11600175919018,5.46424475967627,0,0.11669314780985
50,0,0.5,0.05,0,0,10.3610700904572,9.40764287091939,0,0.270662958600933
50,0,0.5,0.05,1,0,5.68629156949922,5.11559180545689,0,0.132395451004156
50,0,0.5,0.2,0,0,10.9248543902962,9.66514475712318,0,0.287864475150859
50,0,0.5,0.2,1,0,5.83692309374527,5.25693306060816,0,0.126729836469662
50,0,0.9,0,0,0,12.6038091976842,12.0000467312003,0,0.113618864871945
50,0,0.9,0,1,0,6.83159801345176,6.31139164863346,0,0.0838792533847384
50,0,0.9,0.05,0,0,12.5244491925087,10.8675499262698,0,0.242022197847648
50,0,0.9,0.05,1,0,6.88829362472552,6.60879698578456,0,0.0388751817626943
50,0,0.9,0.2,0,0,12.5245815262537,10.7855777638234,0,0.35100729965711
50,0,0.9,0.2,1,0,6.85623214460581,6.41954019224593,0,0.0618648871904019
50,0,1,0,0,0,12.6980206169774,11.9486735588541,0,0.146909478572428
50,0,1,0,1,0,7.54924915330186,6.8260882001669,0,0.0862530646162542
50,0,1,0.05,0,0,12.5014847323737,10.9222581178115,0,0.305229308452609
50,0,1,0.05,1,0,7.66326298188026,6.92713593727933,0,0.121056652903147
50,0,1,0.2,0,0,12.7534390035333,11.2876622838475,0,0.224313752480739
50,0,1,0.2,1,0,7.63641960589184,6.69701432168943,0,0.108262750249324
50,0.05,0.5,0,0,0,10.6283694171783,7.68577266441375,0,2.33414841832924
50,0.05,0.5,0,1,0,6.63497050437178,5.29461632476124,0,0.201677100542312
50,0.05,0.5,0.05,0,0,8.17799200331598,7.53971975476423,0,0.135892508379007
50,0.05,0.5,0.05,1,0,5.74329872900867,4.62942800574806,0,0.422601827311573
50,0.05,0.5,0.2,0,0,8.14981321293953,7.42893123877535,0,0.167175958492982
50,0.05,0.5,0.2,1,0,4.86744844179283,4.58631833797406,0,0.0442784010264118
50,0.05,0.9,0,0,0,11.1581749455599,9.72313971864551,0,0.351939445166533
50,0.05,0.9,0,1,0,6.36422160063451,5.58457005724334,0,0.140114496330968
50,0.05,0.9,0.05,0,0,11.2435749582248,10.5199365490351,0,0.18411266763421
50,0.05,0.9,0.05,1,0,6.42139945227664,5.51441084589025,0,0.111935281405381
50,0.05,0.9,0.2,0,0,11.1602662627547,10.144868910249,0,0.239151676439805
50,0.05,0.9,0.2,1,0,6.51394538742227,5.99504168606984,0,0.0935135822686983
50,0.05,1,0,0,0,11.5585454638269,10.6715129366907,0,0.168495396790375
50,0.05,1,0,1,0,6.92841337183377,5.79561305148771,0,0.214063058700984
50,0.05,1,0.05,0,0,11.5086940493991,10.8046446684957,0,0.198806706438762
50,0.05,1,0.05,1,0,6.96712470024357,5.98494481012147,0,0.228726458437153
50,0.05,1,0.2,0,0,11.3651945446999,10.3060134066402,0,0.246780471305882
50,0.05,1,0.2,1,0,7.04135743716963,6.34132433885453,0,0.137731190254981
50,0.2,0.5,0,0,0,11.4854247377141,8.60945881654192,0,1.38715105142668
50,0.2,0.5,0,1,0,6.84409977567449,5.44854145690846,0,0.268105945104884
50,0.2,0.5,0.05,0,0,8.77152327121885,7.55123821480989,0,1.30797591224372
50,0.2,0.5,0.05,1,0,6.26980528629149,4.94727405610889,0,0.582253367651207
50,0.2,0.5,0.2,0,0,7.86679951038136,6.76497417273702,0,0.206266561634104
50,0.2,0.5,0.2,1,0,4.84026062417758,4.4631360708886,0,0.032705773540427
50,0.2,0.9,0,0,0,10.2544366120493,7.75218453614478,0,1.21192426632631
50,0.2,0.9,0,1,0,6.73950407463127,5.63226000620978,0,0.212840002720439
50,0.2,0.9,0.05,0,0,8.74994445660094,7.56179361754726,0,0.380943697734309
50,0.2,0.9,0.05,1,0,6.07502969273795,4.54871419809449,0,0.611148812325842
50,0.2,0.9,0.2,0,0,8.77289066485112,7.82903415544725,0,0.283199671973377
50,0.2,0.9,0.2,1,0,5.45046002998129,5.00481596803794,0,0.0509001447493599
50,0.2,1,0,0,0,9.84050846036941,8.93748219816287,0,0.558929635315676
50,0.2,1,0,1,0,6.68751243445764,5.24953167293015,0,0.572310800937478
50,0.2,1,0.05,0,0,9.53221732423204,8.49949281490582,0,0.409806399640846
50,0.2,1,0.05,1,0,6.39203835093221,5.27757898683169,0,0.409309395275236
50,0.2,1,0.2,0,0,9.61855952582586,8.1043085648464,0,0.324130513694691
50,0.2,1,0.2,1,0,5.66183825851488,5.06329628791613,0,0.122400256737363
100,0,0.5,0,0,0,10.1263590597605,8.93033094924632,0,0.285265474033567
100,0,0.5,0,1,0,5.64859281058786,5.12539367559463,0,0.113629599116746
100,0,0.5,0.05,0,0,10.1059701461172,8.83755459644851,0,0.265082734891917
100,0,0.5,0.05,1,0,5.60609753863789,4.89292443785542,0,0.154173610802403
100,0,0.5,0.2,0,0,10.5686110063709,9.86875049998581,0,0.168561626893814
100,0,0.5,0.2,1,0,5.84200589731093,5.11567832317937,0,0.0842014740561169
100,0,0.9,0,0,0,12.1549879717183,11.2388972495474,0,0.13440681153494
100,0,0.9,0,1,0,6.76344096305542,6.2189114501014,0,0.048905405466672
100,0,0.9,0.05,0,0,12.194026469632,10.9542909127947,0,0.180104798367758
100,0,0.9,0.05,1,0,6.69385493199486,6.21308590123479,0,0.0519338446455424
100,0,0.9,0.2,0,0,12.3902194333826,11.4679584426638,0,0.15498928799194
100,0,0.9,0.2,1,0,6.85203483664681,6.29575746312671,0,0.0460091185227237
100,0,1,0,0,0,12.4646504209126,11.9408478327608,0,0.0767217695960532
100,0,1,0,1,0,7.51787518501135,6.67429331658167,0,0.198784619859374
100,0,1,0.05,0,0,12.3459907751965,11.5509718082936,0,0.172895460928146
100,0,1,0.05,1,0,7.5109406614858,6.86483961951633,0,0.137203766615406
100,0,1,0.2,0,0,12.6432664806511,11.679236191119,0,0.106811686296488
100,0,1,0.2,1,0,7.64313935468521,6.87863805835554,0,0.0769869347859892
100,0.05,0.5,0,0,0,10.0389670197822,8.06636912102656,0,1.73694615865374
100,0.05,0.5,0,1,0,6.36214410031174,4.97035030547125,0,0.237906297709453
100,0.05,0.5,0.05,0,0,7.53975464360425,7.0589845637208,0,0.101804089098321
100,0.05,0.5,0.05,1,0,5.03439124092532,4.65259200983777,0,0.0827742555013819
100,0.05,0.5,0.2,0,0,7.37664082157608,6.46084454289154,0,0.205924838561085
100,0.05,0.5,0.2,1,0,4.6577911598005,4.44623177984281,0,0.014359866306365
100,0.05,0.9,0,0,0,10.2565240649617,9.59629635602577,0,0.122896018390832
100,0.05,0.9,0,1,0,6.02818009772449,5.22125159511829,0,0.160734188132123
100,0.05,0.9,0.05,0,0,10.1771541256297,9.21843887546343,0,0.201786776616389
100,0.05,0.9,0.05,1,0,5.9881410115182,5.17891470710581,0,0.185026816335621
100,0.05,0.9,0.2,0,0,10.0876179906283,9.14231077419227,0,0.180750644013759
100,0.05,0.9,0.2,1,0,5.99420852374167,5.25888300930402,0,0.086559910512597
100,0.05,1,0,0,0,11.0502548974478,10.2992763795929,0,0.141292588453018
100,0.05,1,0,1,0,6.67520797951513,5.7069145106222,0,0.209534493688546
100,0.05,1,0.05,0,0,10.8138208430534,10.0579912850892,0,0.159039509064084
100,0.05,1,0.05,1,0,6.6790980730926,5.81656964243259,0,0.218829298652445
100,0.05,1,0.2,0,0,10.8980914168659,10.3325920251708,0,0.126109518116861
100,0.05,1,0.2,1,0,6.62258691007118,5.86985203645367,0,0.144760282441807
100,0.2,0.5,0,0,0,9.45676816116644,7.72182930125785,0,1.1164136105038
100,0.2,0.5,0,1,0,6.54138321024818,5.65436988249089,0,0.140067766454763
100,0.2,0.5,0.05,0,0,7.68022901534408,7.01414041307466,0,0.120351680508121
100,0.2,0.5,0.05,1,0,5.61183047723227,4.75257070274644,0,0.296201249330777
100,0.2,0.5,0.2,0,0,7.21290462403935,6.60160719913464,0,0.128580458232151
100,0.2,0.5,0.2,1,0,4.72091682072993,4.46478074240299,0,0.0297931663652308
100,0.2,0.9,0,0,0,9.15066206590854,7.54319987144551,0,0.908957269535687
100,0.2,0.9,0,1,0,6.34844989091652,5.55715883520953,0,0.15370114173989
100,0.2,0.9,0.05,0,0,8.19204691447962,7.41862603685707,0,0.154553506067422
100,0.2,0.9,0.05,1,0,5.50211125514824,4.60821761667266,0,0.566793530970462
100,0.2,0.9,0.2,0,0,8.4666126175223,7.47048415224638,0,0.426566094880321
100,0.2,0.9,0.2,1,0,5.08866556477828,4.55362245251955,0,0.0879374525113359
100,0.2,1,0,0,0,9.54830880787329,8.48644613747614,0,0.273434040841078
100,0.2,1,0,1,0,6.39239798451794,5.41852990337535,0,0.273822192076829
100,0.2,1,0.05,0,0,9.5100053342479,8.74376772366016,0,0.147980052957546
100,0.2,1,0.05,1,0,5.69379647277378,4.93390562444559,0,0.1238379586075
100,0.2,1,0.2,0,0,9.63819414750603,8.64761914903351,0,0.238033332027438
100,0.2,1,0.2,1,0,5.56420767755932,5.1066827919122,0,0.0727168348678068
150,0,0.5,0,0,0,9.53408364643677,8.27320278137559,0,0.377304133186368
150,0,0.5,0,1,0,5.57823954597341,5.21861399913028,0,0.0548199636430697
150,0,0.5,0.05,0,0,10.0318504566001,9.25529552330573,0,0.181686642932688
150,0,0.5,0.05,1,0,5.32318948844824,4.92214065857583,0,0.0435047867400348
150,0,0.5,0.2,0,0,10.4560971608743,9.73876617760099,0,0.170281586774084
150,0,0.5,0.2,1,0,5.77471194891541,5.6007413176308,0,0.0100708947964308
150,0,0.9,0,0,0,12.164115636057,11.2661094087607,0,0.243755503102278
150,0,0.9,0,1,0,6.76819240018314,6.45175994057889,0,0.0323329447072715
150,0,0.9,0.05,0,0,12.1668231537362,11.0907089900677,0,0.173980579531586
150,0,0.9,0.05,1,0,6.62061905223297,6.03915670076193,0,0.0776591331308115
150,0,0.9,0.2,0,0,12.2002197172615,11.2065318471033,0,0.208358151048549
150,0,0.9,0.2,1,0,6.80772789497486,6.45495771753954,0,0.0460331101920075
150,0,1,0,0,0,12.1210344852778,11.3522155502276,0,0.170845009690354
150,0,1,0,1,0,7.61811924533655,7.25778771861666,0,0.0403058607490375
150,0,1,0.05,0,0,12.3340405256358,11.7575593056194,0,0.0776877960825452
150,0,1,0.05,1,0,7.53369821861319,6.83051686063206,0,0.110308401851046
150,0,1,0.2,0,0,12.3250380897,11.5644789974568,0,0.108503966053184
150,0,1,0.2,1,0,7.60098568170967,6.9919967717574,0,0.109445792667438
150,0.05,0.5,0,0,0,9.10915517370159,7.1989398392861,0,1.55002892811765
150,0.05,0.5,0,1,0,5.93515147396231,5.08786782564029,0,0.133259237346804
150,0.05,0.5,0.05,0,0,7.3515970012325,6.80451360740753,0,0.139930530573925
150,0.05,0.5,0.05,1,0,4.83376096131322,4.48629436079699,0,0.131460831293378
150,0.05,0.5,0.2,0,0,7.23755322973264,6.47367795348629,0,0.12656663630737
150,0.05,0.5,0.2,1,0,4.62824277638702,4.48588218615444,0,0.0100260330636289
150,0.05,0.9,0,0,0,10.2571359240068,9.04525601763831,0,0.233443632712986
150,0.05,0.9,0,1,0,6.13496198527344,5.57115295019592,0,0.078237347977994
150,0.05,0.9,0.05,0,0,10.18464083376,9.33294921810338,0,0.230416771890493
150,0.05,0.9,0.05,1,0,5.96085439607273,5.17798724708207,0,0.143925267823587
150,0.05,0.9,0.2,0,0,9.82901766525363,8.73313028371187,0,0.301505633588918
150,0.05,0.9,0.2,1,0,5.87218677509178,5.06755699705391,0,0.0906075398823687
150,0.05,1,0,0,0,10.6041943937805,9.80844861059425,0,0.227881933504952
150,0.05,1,0,1,0,6.43411887652961,5.56324881710421,0,0.173175846293283
150,0.05,1,0.05,0,0,10.7854634738105,10.1796912354818,0,0.109855505817433
150,0.05,1,0.05,1,0,6.56028281691102,5.7171279726067,0,0.245429667426805
150,0.05,1,0.2,0,0,10.8601966929919,10.3456559503028,0,0.0979256388698579
150,0.05,1,0.2,1,0,6.66174583502522,6.13510548027986,0,0.146003703065536
150,0.2,0.5,0,0,0,9.41396589693396,7.43982291794415,0,1.2389657920407
150,0.2,0.5,0,1,0,6.39568540252797,5.75377703058853,0,0.178181452242759
150,0.2,0.5,0.05,0,0,7.36012045664425,6.72942538062247,0,0.22358219732959
150,0.2,0.5,0.05,1,0,5.20641201428366,4.56212617093334,0,0.22737811861729
150,0.2,0.5,0.2,0,0,7.20730718415921,6.5237502934346,0,0.12304298285831
150,0.2,0.5,0.2,1,0,4.64405589061678,4.4038958712328,0,0.0125685769846094
150,0.2,0.9,0,0,0,8.93066050061271,7.85014646069992,0,0.472045543360068
150,0.2,0.9,0,1,0,5.97367276393274,4.97363338321395,0,0.218027087669994
