NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Fit_var,Eff,Eff_Var
50,0,0.5,0,10.5874274798938,9.52632744088707,0.541529809149715,0.00738381633629896,0
50,0,0.5,0.05,10.4153302758475,9.63966391113517,0.389677555883803,0.00731936544351494,0
50,0,0.5,0.1,10.5821053265177,9.2628899871668,0.469805890563444,0.00732351708903761,0
50,0,0.5,0.2,10.6733817667393,9.19594071500156,0.318807213137959,0.00730585570072756,0
50,0,0.7,0,11.830620351919,11.025952533324,0.161458293702644,0.00719131356013971,0
50,0,0.7,0.05,11.9538393118972,11.0014542549196,0.234167603480225,0.00718986247823799,0
50,0,0.7,0.1,11.9670254984687,10.7577425457186,0.205033872518533,0.00716502632040855,0
50,0,0.7,0.2,12.088105887171,10.9564146342195,0.251275419219856,0.0071578437066401,0
50,0,0.9,0,12.533789263729,11.8799848825331,0.147659515941724,0.00712512252035688,0
50,0,0.9,0.05,12.6110043777283,12.0308161110568,0.0713541804611718,0.00705980618824476,0
50,0,0.9,0.1,12.5407527250286,11.1084744975013,0.236990843577202,0.00711196090994988,0
50,0,0.9,0.2,12.4886907540792,11.751382930179,0.202680229241826,0.00707996219320618,0
50,0,1,0,12.8347334263255,11.9533320510171,0.194416979982013,0.00705235520304106,0
50,0,1,0.05,12.8512700441732,11.8743831815401,0.129978048729304,0.0070276379633287,0
50,0,1,0.1,12.695163133275,11.6166917045815,0.184624577645501,0.00705993464897969,0
50,0,1,0.2,12.8388193491982,11.8510212015107,0.134613492840055,0.00705529201837786,0
50,0.05,0.5,0,11.3209983216723,8.38158770623927,3.10081248455893,0.00739943753273172,0
50,0.05,0.5,0.05,8.25581237630903,7.25745949104245,0.252044725797106,0.0077989988736478,0
50,0.05,0.5,0.1,8.21295499219063,7.41839072918079,0.234514048391081,0.00786849416540666,0
50,0.05,0.5,0.2,8.18073623879613,7.29425515358656,0.179439101835718,0.00782018092520148,0
50,0.05,0.7,0,10.5124440190512,9.56617596245201,0.763699735776539,0.00758739822742961,0
50,0.05,0.7,0.05,9.21736743444603,8.20628079735404,0.557306775057341,0.00761213047010486,0
50,0.05,0.7,0.1,9.49676690100462,7.92532028933031,0.432755385053966,0.00752153721636431,0
50,0.05,0.7,0.2,9.30449805456306,7.9807906268783,0.442530251749137,0.00764873011413766,0
50,0.05,0.9,0,11.2713819568332,9.46303874719633,0.376994008808555,0.00739309006692282,0
50,0.05,0.9,0.05,11.1465601170934,10.2454097475373,0.284918414447833,0.00740909214826693,0
50,0.05,0.9,0.1,11.011269426493,9.82808448344671,0.3591882202035,0.00741961661683768,0
50,0.05,0.9,0.2,11.0642114197848,9.75608368770694,0.311567386903079,0.00738015363927286,0
50,0.05,1,0,11.3763716363577,10.7575445479006,0.1314988957589,0.00742253232863237,0
50,0.05,1,0.05,11.6243011528143,10.7389146348929,0.18344105463791,0.00727843092697691,0
50,0.05,1,0.1,11.6647637341106,9.86589833690406,0.362376487880489,0.00726135560369274,0
50,0.05,1,0.2,11.7780611877299,11.0775977338178,0.196952775472705,0.00733113822382565,0
50,0.1,0.5,0,11.4845601261781,8.99174574194696,1.8173540566541,0.00738652761339875,0
50,0.1,0.5,0.05,8.39084679474951,7.63658710290283,0.211256160180707,0.00775926394995858,0
50,0.1,0.5,0.1,7.7182723820217,6.81175213944798,0.271171676956068,0.00789660917237111,0
50,0.1,0.5,0.2,7.79953437985406,6.96520866596886,0.159050374467841,0.00795118513684035,0
50,0.1,0.7,0,10.7087822270626,7.65182265222942,1.89755152800085,0.00759595030480534,0
50,0.1,0.7,0.05,8.30925836144858,7.29164152201589,0.22244844353496,0.00788374347802889,0
50,0.1,0.7,0.1,8.20735732811564,7.32188507382069,0.324358774852613,0.00782398393631223,0
50,0.1,0.7,0.2,8.30425618626024,7.44460458386653,0.151792149588433,0.00785330244609573,0
50,0.1,0.9,0,10.2385917674909,8.87644957289726,0.98947739029772,0.00762150560983002,0
50,0.1,0.9,0.05,9.14750199362983,8.42783708030235,0.226760281785428,0.00771064076231429,0
50,0.1,0.9,0.1,9.14971731036924,7.94240437225218,0.248755811160498,0.0076926862889572,0
50,0.1,0.9,0.2,9.18666576229191,8.28000455990555,0.228099221601111,0.00767975814268402,0
50,0.1,1,0,10.5418696759146,9.52007204315286,0.715842755297241,0.00751066991954847,0
50,0.1,1,0.05,10.0737766251813,8.87377998761146,0.299440396484109,0.00754928881513913,0
50,0.1,1,0.1,10.1778241280627,9.2221973637754,0.307304570320689,0.0075373384471906,0
50,0.1,1,0.2,10.1413371872371,8.94040940287052,0.286193675645424,0.00753512631235518,0
50,0.2,0.5,0,11.5829406370559,10.0187789282053,0.75106637552645,0.00738225694284529,0
50,0.2,0.5,0.05,8.18222678643151,7.11458277341684,0.255374398137152,0.0078142032297135,0
50,0.2,0.5,0.1,7.95778201782319,7.24572486162267,0.158876084642461,0.00786273423095756,0
50,0.2,0.5,0.2,7.81626111323567,7.08009165227387,0.102634481927765,0.00789155050342125,0
50,0.2,0.7,0,9.91046923090874,8.11055381169047,1.61176640217064,0.00763328802850848,0
50,0.2,0.7,0.05,8.17106354172659,7.42300023701191,0.175553251119112,0.00791520215842936,0
50,0.2,0.7,0.1,8.03657230632495,7.07366795295245,0.269521330492337,0.00788698592245883,0
50,0.2,0.7,0.2,8.09632562359503,7.1870518213136,0.143872998290196,0.00787240712493528,0
50,0.2,0.9,0,9.6507258127276,8.06743148512097,0.880162996829056,0.00773343368244035,0
50,0.2,0.9,0.05,8.62193916858378,7.97999472780461,0.178564203136363,0.00774288499078336,0
50,0.2,0.9,0.1,8.52524976114867,7.56706347692787,0.198083516643703,0.00782421206178829,0
50,0.2,0.9,0.2,8.63680130824996,7.60864173637983,0.314145666008345,0.00780349317334763,0
50,0.2,1,0,9.86634864517425,8.55323038913871,0.398742988182244,0.00767524235179699,0
50,0.2,1,0.05,9.44460851626694,8.21741910491267,0.353633277016351,0.00770716988883034,0
50,0.2,1,0.1,9.50208120562413,8.03815283665624,0.341978024027929,0.00767688149461739,0
50,0.2,1,0.2,9.42657973402392,8.42707400716075,0.270665058578935,0.00770432769728891,0
100,0,0.5,0,10.0281580131643,8.86292613675523,0.292602121624726,0.00380666762078498,0
100,0,0.5,0.05,10.1805742798721,9.37259308880469,0.224909527937653,0.00379934840309973,0
100,0,0.5,0.1,10.3914624900641,9.2092647663895,0.299434627581348,0.00378418273857247,0
100,0,0.5,0.2,10.606931055872,9.7922592235275,0.187590875714784,0.00376849195363231,0
100,0,0.7,0,11.6721888678196,10.8251782371899,0.188012904166918,0.00366852027872086,0
100,0,0.7,0.05,11.5367606768152,10.7997437924101,0.17200667517599,0.00370768044477341,0
100,0,0.7,0.1,11.7324275686025,11.2194942933972,0.126481179357996,0.00365849974529624,0
100,0,0.7,0.2,11.7288734839973,10.2603673679975,0.248560791500333,0.00367805445279287,0
100,0,0.9,0,12.1675240332214,11.2070627097216,0.139829882567983,0.00364460396193436,0
100,0,0.9,0.05,12.2463547832501,11.3419046961817,0.174498427372214,0.00362041795310801,0
100,0,0.9,0.1,12.2759826099678,11.030812963404,0.203200195316214,0.00362073845200305,0
100,0,0.9,0.2,12.2049200092113,10.807692992496,0.339111939848103,0.00364258870202225,0
100,0,1,0,12.5028090131083,11.7468604005129,0.120411818130326,0.00362080661879228,0
100,0,1,0.05,12.40770802567,10.9724120135062,0.251120396616696,0.00361092218965945,0
100,0,1,0.1,12.4880644568928,11.6444587664345,0.0985641255780384,0.00361905617004118,0
100,0,1,0.2,12.6506967018907,11.8917241268978,0.0747311669833285,0.0036013614064273,0
100,0.05,0.5,0,9.01408569176994,7.427971448765,1.48284561317499,0.00399340780265034,0
100,0.05,0.5,0.05,7.4948234703948,6.44935070049828,0.150438584829816,0.00406934476448769,0
100,0.05,0.5,0.1,7.24315728187543,6.10014557923323,0.255376710779223,0.00413190992131592,0
100,0.05,0.5,0.2,7.55590790788582,6.84561084248448,0.225268599817969,0.0040708217733042,0
100,0.05,0.7,0,9.35754261945597,7.52684987118964,1.2791945926024,0.00394527675175159,0
100,0.05,0.7,0.05,8.23063988726216,7.59260164517566,0.152228224293527,0.00399735888308237,0
100,0.05,0.7,0.1,8.44473263055052,7.39983872906361,0.264153012406291,0.00399345899162768,0
100,0.05,0.7,0.2,8.59973858404754,7.70372713408213,0.283797887317556,0.00394314937490778,0
100,0.05,0.9,0,10.0954012217643,9.28145272740835,0.22892852680017,0.00386697930403677,0
100,0.05,0.9,0.05,10.1541690978248,9.01928041365148,0.217288866014055,0.00386568269025251,0
100,0.05,0.9,0.1,10.1913746201847,8.72830131365606,0.306087973771764,0.00385243662282409,0
100,0.05,0.9,0.2,10.2342360135207,9.64195589062696,0.124257588512771,0.00382233658540051,0
100,0.05,1,0,10.9016900052711,9.98893696080399,0.208857120829885,0.00381738498526127,0
100,0.05,1,0.05,10.6913717629001,9.75092037247487,0.16558063532577,0.00381500720151367,0
100,0.05,1,0.1,10.8044016711879,9.61953018247373,0.290685787214403,0.00381187023762211,0
100,0.05,1,0.2,10.7639387866348,10.0141772306913,0.144456316779543,0.00377081544746516,0
100,0.1,0.5,0,10.0675775122813,8.71274221943341,1.23413068049361,0.00394499979644855,0
100,0.1,0.5,0.05,7.47730120090534,6.81960501663653,0.107040638162765,0.00414026475495666,0
100,0.1,0.5,0.1,7.41431725370452,6.85643813879447,0.109856367001006,0.00407338890040779,0
100,0.1,0.5,0.2,7.1438765303327,6.31118809208182,0.14527167987002,0.00411990225550493,0
100,0.1,0.7,0,9.6738287004428,6.94830808388232,2.11794181945798,0.00396050092291008,0
100,0.1,0.7,0.05,7.9340380795856,6.72381286732565,0.170955575093009,0.004099368684557,0
100,0.1,0.7,0.1,7.66777696997729,6.95329662634243,0.192687944914406,0.00406645807479558,0
100,0.1,0.7,0.2,7.79419467462721,6.85069595279402,0.258059868593846,0.00407750935092491,0
100,0.1,0.9,0,9.50704241049351,8.1643732566892,0.781707361986191,0.00395921037670827,0
100,0.1,0.9,0.05,8.70970856387171,7.83634435398064,0.177630990658238,0.00399016766183502,0
100,0.1,0.9,0.1,9.09372025428278,8.21147219213391,0.247624513817397,0.00392135936689794,0
100,0.1,0.9,0.2,9.0060227321275,7.95183535328998,0.365705693473146,0.00395232880624572,0
100,0.1,1,0,10.150218142136,9.42389957343308,0.18954004589507,0.00385532847191446,0
100,0.1,1,0.05,10.0983829807424,9.14050630723973,0.263362358517474,0.00387773647474099,0
100,0.1,1,0.1,10.0560741886963,9.47457529889586,0.124837891388399,0.00386786203783193,0
100,0.1,1,0.2,10.040317503999,9.02458118586284,0.208665692094211,0.00387780400339671,0
100,0.2,0.5,0,9.2637037081551,7.00961730361656,1.61649191172536,0.00399005497613722,0
100,0.2,0.5,0.05,7.41448221824588,6.95102655173096,0.136408330822957,0.00410791349741074,0
100,0.2,0.5,0.1,7.34676274457037,6.7770350146339,0.168549630851551,0.0040957777953715,0
100,0.2,0.5,0.2,7.21614813958468,6.80510097107583,0.0849248644619236,0.00410799849157993,0
100,0.2,0.7,0,9.77994494095066,7.61171134016291,1.66758423889412,0.00395069385126222,0
100,0.2,0.7,0.05,7.66987545874022,6.72836661370904,0.173558224392283,0.00408104858969305,0
100,0.2,0.7,0.1,7.52761035504122,6.87921282796846,0.096141481080399,0.00412745317513658,0
100,0.2,0.7,0.2,7.57195686983701,7.14183397726249,0.0964685013885174,0.00409984733425799,0
100,0.2,0.9,0,8.98168209396156,7.14065755807424,0.749571187592747,0.00399418395596549,0
100,0.2,0.9,0.05,8.27213861849997,7.62712765974501,0.228638150876759,0.00404026934740412,0
100,0.2,0.9,0.1,8.58365449336536,8.11888568590314,0.0971771920828232,0.0039968789119733,0
100,0.2,0.9,0.2,8.38761819637906,7.70548514193742,0.160330170038161,0.00398996769981947,0
100,0.2,1,0,9.36701132421416,8.73753793999428,0.158846450281238,0.00395665664371623,0
100,0.2,1,0.05,9.38451140622301,7.86078836511533,0.256808615851457,0.0039495359952179,0
100,0.2,1,0.1,9.33970371064595,8.54953037029426,0.173322730410516,0.00393725568329337,0
100,0.2,1,0.2,9.46724838507572,7.78442247943852,0.378794237451867,0.0039027686258269,0
150,0,0.5,0,9.8537462202815,8.87251560258956,0.186492314550129,0.00256808887607086,0
150,0,0.5,0.05,10.1528458757241,9.53588990598398,0.120193110371167,0.00254932124861356,0
150,0,0.5,0.1,10.1134269506535,9.51096157509608,0.135046745471149,0.00256915835814497,0
150,0,0.5,0.2,10.4779524763209,9.78416077311964,0.135792155888926,0.00256309063950651,0
150,0,0.7,0,11.4574381556466,10.8468645700252,0.122281442332594,0.00249126153691801,0
150,0,0.7,0.05,11.5570861426074,10.5491040050675,0.149881820106376,0.00248742664059895,0
150,0,0.7,0.1,11.578989069828,10.5865808151126,0.157660107514275,0.00250215959796065,0
150,0,0.7,0.2,11.534103021959,10.9289676051867,0.15120970235683,0.00247871261104774,0
150,0,0.9,0,12.0874477589746,11.3056420719165,0.156465577610063,0.0024620433429654,0
150,0,0.9,0.05,12.0317889823502,10.7587315003703,0.250347286844192,0.0024605051946199,0
150,0,0.9,0.1,12.1359957002153,11.6669727382672,0.0485983488587843,0.00245451869040361,0
150,0,0.9,0.2,12.092621459672,11.2938062691945,0.158292832044667,0.00243971230819065,0
150,0,1,0,12.3251649647678,11.7299743592005,0.130115883540833,0.00243983995798265,0
150,0,1,0.05,12.3664047208318,11.539154174429,0.149004966767983,0.00244475170097795,0
150,0,1,0.1,12.3709588961674,11.5533636136688,0.101229106844444,0.00243132956233791,0
150,0,1,0.2,12.2896887055324,11.4710292208473,0.213588786948212,0.00244544383050984,0
150,0.05,0.5,0,9.23998929623166,6.82337392554727,1.60195695781823,0.00269590495815368,0
150,0.05,0.5,0.05,7.26065121160749,6.34237047108399,0.167207541498668,0.00280089553324674,0
150,0.05,0.5,0.1,7.10630246816955,6.49313154918048,0.102731174024874,0.00277410475199987,0
150,0.05,0.5,0.2,7.35851370890964,6.56527204575631,0.215320150063224,0.00276910905914166,0
150,0.05,0.7,0,8.92556412181284,6.93473071017345,1.40190369601228,0.00266807369871695,0
150,0.05,0.7,0.05,8.10589539577254,7.15003298348553,0.14407375552385,0.00270641363722087,0
150,0.05,0.7,0.1,8.11498006365747,7.28176651711742,0.182348277010109,0.00271699707138053,0
150,0.05,0.7,0.2,8.22251074069284,7.59098992198341,0.172368665253205,0.00271136370262457,0
150,0.05,0.9,0,10.23704702777,9.14329537147994,0.324659385728031,0.00259370871666909,0
150,0.05,0.9,0.05,10.154883361927,9.51476951324798,0.189983713482047,0.00260195699853481,0
150,0.05,0.9,0.1,10.1825403495689,9.20743967694668,0.22597159550484,0.00258235831134664,0
150,0.05,0.9,0.2,9.9235965754838,8.77286641776652,0.256685871865086,0.00261138090324732,0
150,0.05,1,0,10.7048897687427,9.87749734958062,0.121372209058124,0.00257011296019788,0
150,0.05,1,0.05,10.5798591267967,9.08243652781862,0.327217610958648,0.00257887127932082,0
150,0.05,1,0.1,10.7389474391552,9.92557327655218,0.206990211598701,0.00254005126006301,0
150,0.05,1,0.2,10.6275434042854,9.76261766810902,0.182657242977414,0.00255426191413519,0
150,0.1,0.5,0,8.59708866973302,6.8727445787446,2.03651825894915,0.00272339136426775,0
150,0.1,0.5,0.05,7.0680522432617,6.25891147087042,0.244980099207723,0.00281603781966311,0
150,0.1,0.5,0.1,7.02684615010038,6.53103275375278,0.141004835983388,0.00281040024118669,0
150,0.1,0.5,0.2,6.92954095647753,6.26475379169723,0.118958082494261,0.00283469764167031,0
150,0.1,0.7,0,9.1120569429104,7.59192856183713,0.883892229116597,0.00271971325202855,0
150,0.1,0.7,0.05,7.48813086651145,6.60550300119489,0.213173428253327,0.00278600738153009,0
150,0.1,0.7,0.1,7.52214914736351,6.83004469150816,0.12726192138809,0.00279970508375427,0
150,0.1,0.7,0.2,7.57255603621974,6.85794067656413,0.177797673503234,0.00276741868255537,0
150,0.1,0.9,0,8.90882796749059,7.83754750423536,0.46822889633623,0.00269092657208859,0
150,0.1,0.9,0.05,8.65762317574465,7.73466040058142,0.239687632888251,0.00268266923216821,0
150,0.1,0.9,0.1,8.59489771219531,7.83001169905328,0.163544625576882,0.00269148136239345,0
150,0.1,0.9,0.2,8.77619442124598,8.0960645295376,0.215783202534498,0.00266698048997418,0
150,0.1,1,0,9.83911096737862,9.28014527874944,0.12744340095289,0.0026353547575965,0
150,0.1,1,0.05,9.63584764543204,9.0985103461954,0.180181116111235,0.00266133103136988,0
150,0.1,1,0.1,9.83220170848856,8.98227155746044,0.203786825379448,0.00263425752139131,0
150,0.1,1,0.2,9.80773632276559,9.07639945576983,0.18188719686297,0.00262978371941083,0
150,0.2,0.5,0,9.37172193432395,7.1189644696096,1.68207262058709,0.00268229255734288,0
150,0.2,0.5,0.05,7.33374168373166,6.55782417107113,0.131345575960702,0.00277242877059966,0
150,0.2,0.5,0.1,6.96855043475828,6.064434898749,0.180015896047388,0.00279967824457725,0
150,0.2,0.5,0.2,7.01575735647868,6.40011255357562,0.0878338276896147,0.00280937571469306,0
150,0.2,0.7,0,8.81292560474553,6.63676465439241,1.09416778331269,0.00271790546093772,0
150,0.2,0.7,0.05,7.40196945210212,6.96578905805315,0.113592412283557,0.00278127178387986,0
150,0.2,0.7,0.1,7.12506030118507,6.20416535581027,0.203928942022813,0.00280860177858316,0
150,0.2,0.7,0.2,7.34202051065431,6.74010339284738,0.0966201555169242,0.00279386760562682,0
150,0.2,0.9,0,8.62296495762762,7.29465335603715,0.586363718847441,0.00271405961539053,0
150,0.2,0.9,0.05,8.09944745020288,7.2347538390505,0.174923711561256,0.00272648314883297,0
150,0.2,0.9,0.1,8.16080099280168,7.34792196532395,0.233160931076102,0.00271640236359403,0
150,0.2,0.9,0.2,8.31355825371746,7.33589104109141,0.283774846938137,0.00272873149650722,0
150,0.2,1,0,9.31524966299484,7.9264074888593,0.206869755408904,0.00266870075388236,0
150,0.2,1,0.05,9.20365194656565,8.03023713303944,0.226583551435916,0.00268054305921568,0
150,0.2,1,0.1,9.35806727112531,8.93797996585142,0.0961564448348102,0.00266495452589927,0
150,0.2,1,0.2,9.40400444316919,8.5813430937709,0.151346222706535,0.00265078518539829,0
