NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Fit_var,Eff_1,Eff_2
50,0,0.5,0,23.5301603990165,21.9806458903658,1.62840785617502e-06,0.00387827599724922,0.000127562137811334
50,0,0.5,0.05,22.7681084454955,21.5161063183383,1.13130720648089e-06,0.00391375178929752,0.000126960367010268
50,0,0.5,0.1,22.8530346104691,21.3837081002926,1.57649534556544e-06,0.00390912426379995,0.000126491551577317
50,0,0.5,0.2,22.9345801996486,21.5834196763656,9.31959810552149e-07,0.00389558125147602,0.000134859168277316
50,0,0.7,0,24.2854647427175,22.8830584657434,6.34508373747405e-07,0.00385998309553306,0.000119776319529369
50,0,0.7,0.05,24.3605151370583,23.6577316144619,3.78757202765067e-07,0.00386021696749522,0.000117322900109113
50,0,0.7,0.1,24.4128318311088,23.8794546897735,2.54379883714877e-07,0.00386775917031622,0.000116549751384091
50,0,0.7,0.2,24.3839099104634,23.054764547774,6.92614977672375e-07,0.00387307395021188,0.000121189110728715
50,0,0.9,0,24.9353209169369,24.3769048985011,1.83601977067888e-07,0.00384733875848543,0.000117403263112471
50,0,0.9,0.05,24.8295855649932,23.6788159507136,6.49364831346762e-07,0.00384211330626844,0.000121616034487221
50,0,0.9,0.1,25.0839856530168,24.3455622838528,2.9817525009549e-07,0.0038395904296286,0.000117260065217118
50,0,0.9,0.2,25.0919045818035,24.0511685074035,3.16971659408579e-07,0.00385141295627269,0.000119026568654647
50,0,1,0,25.2558924645485,24.6242048548197,1.78737480650075e-07,0.00382947973864491,0.000121373195788263
50,0,1,0.05,25.1799262149203,24.753994079954,1.97740767051644e-07,0.00382833946917524,0.00011919065007088
50,0,1,0.1,25.1967793497556,24.5472341270046,2.32125132869647e-07,0.00383744821922876,0.000121787811129983
50,0,1,0.2,25.2474954268884,24.6448167975287,3.26716001067691e-07,0.00383304248149019,0.000114150989256619
50,0.05,0.5,0,23.9449636884283,21.4415042302255,4.80186366879708e-06,0.0039097082390913,0.000110651912212881
50,0.05,0.5,0.05,20.5703071736863,19.4959207265743,1.83018293005366e-06,0.00397165661362571,0.000159369756757785
50,0.05,0.5,0.1,20.4945154602832,19.6647518281909,1.75258119536525e-06,0.00399695290565149,0.000160413504255275
50,0.05,0.5,0.2,20.3592193363583,18.6143966499819,4.05419939873224e-06,0.0039879215475917,0.000172819560070343
50,0.05,0.7,0,23.1224744112333,21.841060268089,1.59538471416797e-06,0.0039288516457709,0.000124044488641326
50,0.05,0.7,0.05,21.9185352595146,20.9406304741572,1.01814211460015e-06,0.00394683377091781,0.000139868747455632
50,0.05,0.7,0.1,21.8579773224031,20.4350519430528,1.15119929782385e-06,0.00395684423075086,0.000139683914639045
50,0.05,0.7,0.2,21.9652008453125,20.605798521531,1.88971233210908e-06,0.00395726779073583,0.000137309470887882
50,0.05,0.9,0,23.9227652604635,22.9212966819692,6.71032452970085e-07,0.00390327798916785,0.000104045320933796
50,0.05,0.9,0.05,23.8631546858995,22.7720341629676,5.50538639367528e-07,0.00390903837930881,0.000106102881204615
50,0.05,0.9,0.1,23.8282103543932,23.1930513300775,4.94120891386127e-07,0.0039076178597765,0.000105130217361176
50,0.05,0.9,0.2,23.6983565870722,22.7302122914171,7.09658390481914e-07,0.00389594995017241,0.000105104667371075
50,0.05,1,0,24.0355743521717,22.819939786322,7.78628271170281e-07,0.00390987949588516,0.000102609765857322
50,0.05,1,0.05,24.1463131686677,23.1729706887828,6.48703055595498e-07,0.00389335201404328,9.67006038668952e-05
50,0.05,1,0.1,24.2705715977256,23.0452726663322,6.74717749410772e-07,0.00388789322410086,9.7140263423852e-05
50,0.05,1,0.2,24.2799401421763,23.3136473425061,4.63434385171035e-07,0.00389139837286815,9.37760653121253e-05
50,0.1,0.5,0,24.5231628905168,23.0665691979545,2.49089475208906e-06,0.00388153673374557,0.000100541299968094
50,0.1,0.5,0.05,20.1558715459249,19.3107575233202,1.70807662825686e-06,0.00399809196660729,0.00016976628201478
50,0.1,0.5,0.1,20.0585190599608,18.9336294751315,1.65061914477288e-06,0.00400934409697425,0.000173806320456893
50,0.1,0.5,0.2,19.6630274202925,18.6708887564412,2.0931718176737e-06,0.00402236794694544,0.000180962523815539
50,0.1,0.7,0,23.6199095109572,21.6598566709512,4.06199649983965e-06,0.00395233436239771,0.000118922838981968
50,0.1,0.7,0.05,20.3078004920168,19.1556994078729,2.51844138739643e-06,0.00402658617661515,0.000171365751865502
50,0.1,0.7,0.1,20.4495300411412,19.613242862713,1.58978589507708e-06,0.0040081494930737,0.000165019895467138
50,0.1,0.7,0.2,20.4124687442075,19.5547785937805,1.28213254001715e-06,0.00401237169711518,0.000165716811735192
