,NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,Av_Best,Peak_Best,Fit_var
14,50,0.0,1.0,0.05,0,4.07667317813877,3.7999803584933995,0.019616631160746002
16,50,0.0,1.0,0.2,0,4.040207396157331,3.74170741498613,0.0236954749224446
8,50,0.0,0.9,0.05,0,3.99607346059592,3.71953185392554,0.0282535750714195
10,50,0.0,0.9,0.2,0,3.96965173354279,3.6826537421723504,0.0292434288825161
70,100,0.0,1.0,0.2,0,3.96011503415111,3.6721788799101605,0.0187440259051369
12,50,0.0,1.0,0.0,0,3.95513208672448,3.7734063931566806,0.0156896195726976
68,100,0.0,1.0,0.05,0,3.94179263430359,3.76646209120318,0.0080402735395844
6,50,0.0,0.9,0.0,0,3.92564816216973,3.65786437771611,0.0187691874130043
66,100,0.0,1.0,0.0,0,3.91758122291026,3.73166185830864,0.017317851536639
124,150,0.0,1.0,0.2,0,3.9106326528566404,3.7446506560434,0.0106779118254599
