,NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Eff_1,Av_Best_unit,Eff_1_unit,M
0,50,0.0,0.5,0.0,0.2836447458757755,0.29851153780081985,0.0230584326013399,0.7147589094851686,0.9369127398497182,0.8258358246674434
1,50,0.0,0.5,0.05,0.28905574458186833,0.2956144304890036,0.0232131424607973,0.8231378461058514,0.9453385420532486,0.8842381940795501
2,50,0.0,0.5,0.1,0.2884390386107318,0.29851153780081985,0.023251884204236,0.810785609302663,0.9474484933412873,0.8791170513219752
3,50,0.0,0.5,0.2,0.27487527458417804,0.2961085369197291,0.0231144358421219,0.5391118570771269,0.9399627861185259,0.7395373215978265
4,50,0.0,0.7,0.0,0.266363841832171,0.29079984549042587,0.0230313361375901,0.368633156030262,0.9354370133202539,0.652035084675258
5,50,0.0,0.7,0.05,0.262778495965197,0.2872352903120022,0.0229193325551405,0.29682090960660973,0.9293370786740912,0.6130789941403505
6,50,0.0,0.7,0.1,0.26081678566726607,0.2765011963536511,0.0228063285174912,0.25752907318310525,0.9231826572766915,0.5903558652298984
7,50,0.0,0.7,0.2,0.2560694293889138,0.27029326415593524,0.0226346005634923,0.1624424813811164,0.9138300162860883,0.5381362488336023
8,50,0.0,0.9,0.0,0.25355444240535846,0.26969927846088776,0.0226067081219324,0.11206885726886738,0.9123109392448352,0.5121898982568512
9,50,0.0,0.9,0.05,0.25451465357358555,0.27638131685663697,0.0228044689762685,0.13130128939393423,0.9230813830166882,0.5271913362053112
10,50,0.0,0.9,0.1,0.24992223332763977,0.2922628919085861,0.0223855185746083,0.03931796989868887,0.9002645229286562,0.46979124641367254
11,50,0.0,0.9,0.2,0.24795921827248557,0.26179441485608423,0.0225660763701414,0.0,0.9100980543971944,0.4550490271985972
12,50,0.0,1.0,0.0,0.24912336663646523,0.26267295399018203,0.022377570222768997,0.023317167238416574,0.8998316401073745,0.46157440367289554
13,50,0.0,1.0,0.05,0.2533448032518955,0.2883813281088218,0.0226671162628805,0.10786991549111553,0.9156008850110378,0.5117354002510767
14,50,0.0,1.0,0.1,0.24945944188760238,0.2635286992466242,0.0223066228741669,0.03004854536677591,0.8959677084337063,0.4630081269002411
15,50,0.0,1.0,0.2,0.2491724359411599,0.2696943145246097,0.0223690389319636,0.024299994873828223,0.8993670092873403,0.46183350208058427
16,50,0.05,0.5,0.0,0.2636424440401668,0.2912009587200395,0.0232496738317157,0.3141252518817763,0.9473281121211281,0.6307266820014522
17,50,0.05,0.5,0.05,0.29029850176800476,0.29851153780081985,0.023816695415176004,0.8480294991309235,0.9782092190145434,0.9131193590727334
18,50,0.05,0.5,0.1,0.2896571181292241,0.29851153780081985,0.0242168055272214,0.8351829840026391,1.0,0.9175914920013195
