Test_id,Av_Best_eq,Last_eq,Av_Best_div,Last_div
1,19.6584703750369,100,21.6138951138652,63
2,19.9758690587635,100,22.2361459717511,58
3,20.5593519708489,91,21.7138771060467,66
4,20.4775654285287,95,21.7508552455847,67
5,20.204148462736,100,22.2580926496346,59
6,20.4344679768579,97,22.3922238705889,56
7,20.0432097056137,100,22.1160554110499,56
8,20.3664460624915,98,21.7816785466444,67
9,20.5404288520322,98,22.3937318652474,59
10,20.4404653321925,100,22.0179846043485,65
