,NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Fit_var,Eff,Av_Best_unit,Fit_var_unit,Eff_unit,sum
16,50,0.05,0.5,0.0,11.3209983216723,8.38158770623927,3.10081248455893,0.007399437532731721,0.7502275690729588,1.0,0.9098646863046829,2.6600922553776414
32,50,0.1,0.5,0.0,11.484560126178101,8.99174574194696,1.8173540566541002,0.00738652761339875,0.7769242850336129,0.5798018672394182,0.9077556791786102,2.2644818314516413
36,50,0.1,0.7,0.0,10.7087822270626,7.65182265222942,1.8975515280008501,0.0075959503048053404,0.6503010658546817,0.6060581346644845,0.9419676627817766,2.198326863300943
52,50,0.2,0.7,0.0,9.91046923090874,8.11055381169047,1.61176640217064,0.00763328802850848,0.5199996463367622,0.5124934553311336,0.9480672768328218,1.9805603785007175
48,50,0.2,0.5,0.0,11.5829406370559,10.0187789282053,0.75106637552645,0.007382256942845291,0.7929820471921093,0.23070439524192782,0.9070580083103384,1.9307444507443754
12,50,0.0,1.0,0.0,12.8347334263255,11.953332051017098,0.194416979982013,0.007052355203041059,0.997300877237422,0.048460053294747014,0.8531641688365362,1.8989250993687055
15,50,0.0,1.0,0.2,12.838819349198198,11.851021201510699,0.13461349284005497,0.0070552920183778595,0.997967785521414,0.028880678471797476,0.8536439367044463,1.8804924006976576
13,50,0.0,1.0,0.05,12.8512700441732,11.8743831815401,0.129978048729304,0.0070276379633287,1.0,0.027363056305387868,0.8491262787966598,1.8764893351020477
10,50,0.0,0.9,0.1,12.5407527250286,11.108474497501302,0.236990843577202,0.00711196090994988,0.9493170627756607,0.0623985320161074,0.8629015542827989,1.8746171490745671
14,50,0.0,1.0,0.1,12.695163133275,11.616691704581498,0.184624577645501,0.007059934648979691,0.9745200789858213,0.04525406774228952,0.8544023721966015,1.8741765189247124
11,50,0.0,0.9,0.2,12.4886907540792,11.751382930179,0.20268022924182602,0.00707996219320618,0.9408194575126992,0.051165401464984876,0.8576741380691835,1.8496589970468675
8,50,0.0,0.9,0.0,12.533789263729,11.8799848825331,0.147659515941724,0.007125122520356879,0.9481804798859077,0.03315188385569264,0.8650516784952766,1.8463840422368771
40,50,0.1,0.9,0.0,10.2385917674909,8.87644957289726,0.98947739029772,0.0076215056098300205,0.5735561241824966,0.3087590178602707,0.9461424619432524,1.8284576039860196
9,50,0.0,0.9,0.05,12.6110043777283,12.030816111056799,0.0713541804611718,0.007059806188244759,0.9607836054905516,0.008169883043294423,0.8543813864260167,1.8233348749598628
7,50,0.0,0.7,0.2,12.088105887170999,10.9564146342195,0.251275419219856,0.0071578437066401,0.8754356080112995,0.06707523356079163,0.8703971197226759,1.812907961294767
30,50,0.05,1.0,0.1,11.664763734110599,9.865898336904062,0.362376487880489,0.0072613556036927405,0.8063372922488049,0.10344919050703477,0.8873071656251137,1.7970936483809534
20,50,0.05,0.7,0.0,10.512444019051198,9.566175962452009,0.763699735776539,0.007587398227429609,0.6182545536060455,0.23484049678769042,0.9405705671328458,1.7936656175265817
5,50,0.0,0.7,0.05,11.9538393118972,11.0014542549196,0.23416760348022503,0.007189862478237991,0.853520487706013,0.06147421675096779,0.87562781216361,1.7906225166205907
6,50,0.0,0.7,0.1,11.967025498468699,10.757742545718601,0.20503387251853303,0.00716502632040855,0.8556727498344918,0.051935972983745526,0.8715704952667661,1.7791792180850035
31,50,0.05,1.0,0.2,11.7780611877299,11.077597733817802,0.19695277547270498,0.00733113822382565,0.8248298122321768,0.04929026057461264,0.8987070852791782,1.7728271580859676
44,50,0.1,1.0,0.0,10.5418696759146,9.52007204315286,0.715842755297241,0.0075106699195484706,0.6230574377855853,0.21917235094070098,0.9280359769530655,1.7702657656793517
24,50,0.05,0.9,0.0,11.271381956833197,9.46303874719633,0.376994008808555,0.00739309006692282,0.7421291380051924,0.10823489674108001,0.9088277432937932,1.7591917780400657
4,50,0.0,0.7,0.0,11.830620351919,11.025952533324,0.16145829370264403,0.007191313560139709,0.8334085698567053,0.03766953750418837,0.8758648657030094,1.746942973063903
29,50,0.05,1.0,0.05,11.6243011528143,10.7389146348929,0.18344105463791002,0.007278430926976909,0.7997329505862389,0.04486658798676619,0.8900966469191086,1.7346961854921137
26,50,0.05,0.9,0.1,11.011269426493001,9.82808448344671,0.3591882202035,0.007419616616837679,0.699673319170955,0.10240536696317548,0.9131612082332433,1.715239894367374
56,50,0.2,0.9,0.0,9.650725812727599,8.06743148512097,0.8801629968290559,0.00773343368244035,0.4776040743462038,0.27297000980149605,0.9644274021240855,1.7150014862717853
25,50,0.05,0.9,0.05,11.1465601170934,10.2454097475373,0.284918414447833,0.00740909214826693,0.7217555965705755,0.07808978881860895,0.9114418962343565,1.711287281623541
27,50,0.05,0.9,0.2,11.064211419784801,9.756083687706939,0.31156738690307895,0.007380153639272859,0.708314562531974,0.08681453456979184,0.906714405681372,1.7018435027831378
28,50,0.05,1.0,0.0,11.376371636357698,10.7575445479006,0.1314988957589,0.00742253232863237,0.7592656550638941,0.027860974327628716,0.9136375285567073,1.70076415794823
0,50,0.0,0.5,0.0,10.587427479893801,9.526327440887071,0.541529809149715,0.00738381633629896,0.6304934266235587,0.16210312852205516,0.9073127559831407,1.6999093111287544
2,50,0.0,0.5,0.1,10.582105326517699,9.262889987166801,0.46980589056344396,0.00732351708903761,0.6296247396008754,0.13862106162455384,0.8974620714907741,1.6657078727162031
3,50,0.0,0.5,0.2,10.6733817667393,9.19594071500156,0.31880721313795896,0.007305855700727559,0.6445229684744099,0.08918481895085574,0.8945768486755467,1.6282846361008123
1,50,0.0,0.5,0.05,10.4153302758475,9.63966391113517,0.389677555883803,0.0073193654435149405,0.6024035544927833,0.11238742921266183,0.8967838449452468,1.611574828650692
60,50,0.2,1.0,0.0,9.866348645174249,8.55323038913871,0.3987429881822439,0.0076752423517969905,0.5127982416510513,0.11535540826180857,0.9549210738630671,1.583074723775927
46,50,0.1,1.0,0.1,10.1778241280627,9.2221973637754,0.307304570320689,0.0075373384471906,0.5636375712885867,0.08541890886873568,0.9323926358436806,1.5814491160010031
47,50,0.1,1.0,0.2,10.141337187237099,8.94040940287052,0.28619367564542403,0.0075351263123551795,0.557682137509671,0.07850730321748553,0.932031254179597,1.5682206949067536
45,50,0.1,1.0,0.05,10.073776625181301,8.87377998761146,0.29944039648410903,0.007549288815139129,0.5466548372130311,0.08284421607776626,0.9343448874815565,1.563843940772354
21,50,0.05,0.7,0.05,9.217367434446029,8.20628079735404,0.557306775057341,0.0076121304701048595,0.4068709006134425,0.16726843148074466,0.944610908106367,1.5187502402005544
22,50,0.05,0.7,0.1,9.49676690100462,7.925320289330309,0.432755385053966,0.007521537216364309,0.4524747518353726,0.12649090384583012,0.9298112945080881,1.508776950189291
100,100,0.1,0.7,0.0,9.673828700442801,6.94830808388232,2.11794181945798,0.00396050092291008,0.4813749500287459,0.6782128589121744,0.348068626301208,1.5076564352421284
62,50,0.2,1.0,0.1,9.502081205624131,8.03815283665624,0.34197802402792893,0.00767688149461739,0.4533421577764123,0.09677083128972669,0.9551888496562158,1.5053018387223547
61,50,0.2,1.0,0.05,9.444608516266939,8.21741910491267,0.353633277016351,0.007707169888830341,0.44396140982061766,0.10058670520983647,0.9601368619237493,1.5046849769542034
23,50,0.05,0.7,0.2,9.30449805456306,7.980790626878299,0.44253025174913707,0.00764873011413766,0.42109244471885465,0.12969114831342815,0.9505899470210226,1.5013735400533055
63,50,0.2,1.0,0.2,9.426579734023921,8.42707400716075,0.270665058578935,0.007704327697288909,0.44101873454192037,0.07342330847809642,0.9596725521120502,1.4741145951320669
42,50,0.1,0.9,0.1,9.14971731036924,7.942404372252179,0.248755811160498,0.0076926862889572,0.3958289819170944,0.06625032596829634,0.9577707731391646,1.4198500810245553
43,50,0.1,0.9,0.2,9.186665762291911,8.28000455990555,0.22809922160111104,0.00767975814268402,0.4018597439837384,0.05948745763275899,0.9556587883998477,1.4170059900163452
41,50,0.1,0.9,0.05,9.14750199362983,8.42783708030235,0.226760281785428,0.00771064076231429,0.3954673957757967,0.059049095159774766,0.9607038752971523,1.4152203662327238
116,100,0.2,0.7,0.0,9.77994494095066,7.61171134016291,1.6675842388941202,0.00395069385126222,0.49869534546098326,0.5307679473255721,0.3464665106366727,1.375929803423228
59,50,0.2,0.9,0.2,8.636801308249959,7.6086417363798295,0.314145666008345,0.0078034931733476295,0.31211033585772635,0.08765865078128221,0.975872552303693,1.3756415389427015
58,50,0.2,0.9,0.1,8.52524976114867,7.567063476927871,0.19808351664370302,0.00782421206178829,0.2939027844252095,0.04966045981002108,0.9792572584539522,1.3228205026891828
57,50,0.2,0.9,0.05,8.621939168583781,7.979994727804611,0.17856420313636298,0.007742884990783359,0.30968452304382177,0.043269930198600835,0.9659713991183355,1.318925852360758
38,50,0.1,0.7,0.1,8.20735732811564,7.32188507382069,0.32435877485261305,0.00782398393631223,0.24201607397733674,0.09100237362632028,0.9792199911215824,1.3122384387252395
37,50,0.1,0.7,0.05,8.30925836144858,7.291641522015889,0.22244844353496,0.007883743478028891,0.2586484592167045,0.05763741999973861,0.9889825075309134,1.3052683867473565
33,50,0.1,0.5,0.05,8.39084679474951,7.63658710290283,0.211256160180707,0.007759263949958579,0.2719654022284972,0.05397312011706786,0.9686471200680372,1.2945856424136022
17,50,0.05,0.5,0.05,8.25581237630903,7.257459491042451,0.252044725797106,0.0077989988736478,0.24992495381873572,0.06732710084394827,0.9751383486383425,1.2923904033010265
18,50,0.05,0.5,0.1,8.21295499219063,7.41839072918079,0.23451404839108103,0.007868494165406659,0.24292973012282074,0.06158764115294374,0.9864913293787883,1.2910087006545528
75,100,0.0,0.9,0.2,12.204920009211301,10.807692992496,0.339111939848103,0.00364258870202225,0.894502122016362,0.09583248907737822,0.29613343429689826,1.2864680453906385
77,100,0.0,1.0,0.05,12.407708025669999,10.9724120135062,0.251120396616696,0.00361092218965945,0.927601378239292,0.06702447990413454,0.2909602880898226,1.2855861462332492
49,50,0.2,0.5,0.05,8.18222678643151,7.114582773416839,0.25537439813715196,0.0078142032297135,0.2379142426524397,0.06841721959619788,0.9776221825386839,1.2839536447873217
