,NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,Av_Best,Peak_Best,Fit_var
16,50,0.0,1.0,0.2,0,12.753439003533302,11.2876622838475,0.22431375248073898
12,50,0.0,1.0,0.0,0,12.6980206169774,11.9486735588541,0.146909478572428
70,100,0.0,1.0,0.2,0,12.6432664806511,11.679236191119001,0.106811686296488
6,50,0.0,0.9,0.0,0,12.6038091976842,12.000046731200301,0.113618864871945
10,50,0.0,0.9,0.2,0,12.5245815262537,10.7855777638234,0.35100729965711
8,50,0.0,0.9,0.05,0,12.5244491925087,10.8675499262698,0.242022197847648
14,50,0.0,1.0,0.05,0,12.5014847323737,10.9222581178115,0.305229308452609
66,100,0.0,1.0,0.0,0,12.4646504209126,11.9408478327608,0.0767217695960532
64,100,0.0,0.9,0.2,0,12.3902194333826,11.4679584426638,0.15498928799194
68,100,0.0,1.0,0.05,0,12.3459907751965,11.5509718082936,0.17289546092814598
