,NIND,ELITIST,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Eff_1,Av_Best_unit,Eff_1_unit,Peak_Best_unit
0,50,0.0,0.5,0.0,0.04249864782229863,0.04549456849392691,0.0038782759972492203,0.1959950665381301,0.9513033205900469,0.26842363332055663
1,50,0.0,0.5,0.05,0.04392108384382904,0.04647681068333885,0.003913751789297521,0.29199968370478485,0.9629361023840589,0.3201510356307437
2,50,0.0,0.5,0.1,0.043757864854494836,0.04676457400698977,0.00390912426379995,0.28098352807586635,0.9614187016087308,0.33530539305202234
3,50,0.0,0.5,0.2,0.04360228054295591,0.04633186098378218,0.0038955812514760205,0.27048266052165354,0.9569778449540467,0.3125176113036972
4,50,0.0,0.7,0.0,0.04117689369316561,0.04370045208323131,0.00385998309553306,0.10678578244018203,0.9453049391091296,0.1739408444852269
5,50,0.0,0.7,0.05,0.04105003504128513,0.04226947943684944,0.0038602169674952203,0.09822369871640232,0.9453816275027204,0.09858214113062572
6,50,0.0,0.7,0.1,0.04096206482386527,0.04187700318082452,0.0038677591703162205,0.09228631600278517,0.9478547731211021,0.07791333112486583
7,50,0.0,0.7,0.2,0.04101065020630219,0.043374982118243005,0.0038730739502118795,0.09556549409596515,0.9495975298360256,0.15680075826177517
8,50,0.0,0.9,0.0,0.04010375496393819,0.04102243513537638,0.0038473387584854295,0.03435632248082179,0.9411587649065982,0.03290957791121997
9,50,0.0,0.9,0.05,0.04027453448155344,0.04223184140969951,0.0038421133062684397,0.04588276160383937,0.9394452994163135,0.0966000257281997
10,50,0.0,0.9,0.1,0.039866072873460286,0.041075247650503036,0.0038395904296286,0.018314421292780384,0.9386180289947114,0.035690820914643505
11,50,0.0,0.9,0.2,0.03985349126208595,0.041578021445909254,0.0038514129562726897,0.0174652493335148,0.9424947253209652,0.062168183286511726
12,50,0.0,1.0,0.0,0.039594720376787004,0.040610448373697226,0.00382947973864491,0.0,0.9353026565897821,0.011213294451223741
13,50,0.0,1.0,0.05,0.03971417515145269,0.04039752117456506,0.00382833946917524,0.00806237309581717,0.9349287535657428,0.0
14,50,0.0,1.0,0.1,0.039687611901467065,0.0407377871912621,0.00383744821922876,0.00626953699846631,0.9379155819258969,0.01791928439635664
15,50,0.0,1.0,0.2,0.03960788914273878,0.04057648341294534,0.0038330424814901898,0.000888800842091457,0.9364709070421154,0.009424612181004485
16,50,0.05,0.5,0.0,0.04176243543368839,0.046638518886670616,0.0039097082390913,0.14630580990229927,0.9616101915444065,0.32866700590850956
17,50,0.05,0.5,0.05,0.048613761163431135,0.051292781398979026,0.00397165661362571,0.6087230250261937,0.9819235343013879,0.573772451415321
18,50,0.05,0.5,0.1,0.04879354195701398,0.05085240885503701,0.00399695290565149,0.6208569881715226,0.9902183806837567,0.5505812995869852
19,50,0.05,0.5,0.2,0.04911779688006801,0.05372185941900902,0.0039879215475917,0.6427419582376719,0.98725692974645,0.7016939531990611
20,50,0.05,0.7,0.0,0.04324796655474652,0.04578532304409486,0.0039288516457709,0.24656891095403827,0.9678874600658429,0.28373551643062683
21,50,0.05,0.7,0.05,0.04562348661350035,0.04775405407368696,0.00394683377091781,0.4069001247031099,0.9737839355481046,0.38741396061273703
22,50,0.05,0.7,0.1,0.04574988734090508,0.04893552523315043,0.00395684423075086,0.415431301684287,0.9770664413970805,0.44963327336699643
