Test_id,Av_Best_eq,Last_eq,Av_Best_div,Last_div
1,3.45195196112356,58,3.47640193300132,54
2,3.45978137379122,56,3.50451079358331,53
3,3.41983244007764,57,3.48807464362878,55
4,3.47397704528197,55,3.46322238302742,58
5,3.5219210927109,59,3.55259529685489,51
6,3.41786451704775,63,3.57152223327438,50
7,3.54051369500415,58,3.57441841063824,56
8,3.43416312347498,66,3.60429173390733,45
9,3.54117444191433,48,3.57100452312497,54
10,3.47851450850869,60,3.56744788611246,49
