NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,NVAR,Av_Best,Peak_Best,Fit_Var,Fit_var
100,0,0.9,0,1,0,13.8746443897922,12.9152325394957,0,0.132486492382333
100,0,0.9,0.05,0,0,24.6134011031294,23.404588535216,0,0.155462524972875
100,0,0.9,0.05,1,0,13.915666622976,13.2509654731491,0,0.0852877916461096
100,0,0.9,0.2,0,0,24.6221494119582,24.114512393118,0,0.094666359218265
100,0,0.9,0.2,1,0,13.9218656764789,13.1264578948049,0,0.157722560274657
100,0,1,0,0,0,24.9532604364495,24.4829017661468,0,0.103944007736294
100,0,1,0,1,0,14.8613173160902,14.2173072877544,0,0.150654361909973
100,0,1,0.05,0,0,24.9363979650636,24.0827753652001,0,0.0957346378960454
100,0,1,0.05,1,0,15.1285561307531,13.9589875887528,0,0.248598481604534
100,0,1,0.2,0,0,24.9414840856826,24.1832313810157,0,0.117188948944703
100,0,1,0.2,1,0,15.2212239556144,14.0912913796928,0,0.186256692305884
100,0.05,0.5,0,0,0,22.1241583756711,19.693499557707,0,1.2474805171422
100,0.05,0.5,0,1,0,13.5556583376602,12.7739730483266,0,0.279431903965143
100,0.05,0.5,0.05,0,0,19.6170903000795,18.6772348278952,0,0.351026906222962
100,0.05,0.5,0.05,1,0,11.082455997178,10.2197200749105,0,0.247778988661782
100,0.05,0.5,0.2,0,0,19.3161952361539,18.5061333170729,0,0.2179259183943
100,0.05,0.5,0.2,1,0,10.8531529944671,10.3740655382773,0,0.0578422909739042
100,0.05,0.9,0,0,0,22.9644011480571,21.6407153021888,0,0.365881560107536
100,0.05,0.9,0,1,0,13.2740267088771,11.806949763553,0,0.236286538247506
100,0.05,0.9,0.05,0,0,22.9488321481153,22.2709268580626,0,0.175366201563065
100,0.05,0.9,0.05,1,0,13.2614609160431,12.3545160692474,0,0.196213867909285
100,0.05,0.9,0.2,0,0,22.4931136754517,21.4271399822162,0,0.374541025780053
100,0.05,0.9,0.2,1,0,12.9371285596759,12.1425285984737,0,0.161711695370384
100,0.05,1,0,0,0,23.4015352329853,22.5619640268887,0,0.237027514118965
100,0.05,1,0,1,0,14.0294862160498,13.0603691550363,0,0.210852410983684
100,0.05,1,0.05,0,0,23.3190712943255,22.6487975997673,0,0.164922669642664
100,0.05,1,0.05,1,0,13.956952714252,12.9979177535138,0,0.367973137557018
100,0.05,1,0.2,0,0,23.2291378431432,21.9754721728433,0,0.146667290333788
100,0.05,1,0.2,1,0,14.1238838402343,13.179523968169,0,0.233911978061659
100,0.2,0.5,0,0,0,22.8982891605187,20.1041633045016,0,1.15856950374726
100,0.2,0.5,0,1,0,13.9809420059224,13.1728132616535,0,0.249766225157595
100,0.2,0.5,0.05,0,0,19.5166066306695,18.9253985915654,0,0.0840073732773517
100,0.2,0.5,0.05,1,0,11.5197688143495,10.5134231985053,0,0.405800185961275
100,0.2,0.5,0.2,0,0,19.0604782323963,17.8999963227159,0,0.316713154988704
100,0.2,0.5,0.2,1,0,10.8949783053276,9.83100978289194,0,0.272994446406411
100,0.2,0.9,0,0,0,21.1811301016756,19.34378743294,0,0.727699049528871
100,0.2,0.9,0,1,0,13.7133811869433,12.9380604627679,0,0.242383386753644
100,0.2,0.9,0.05,0,0,20.5705401808194,19.8117147901465,0,0.250030566406402
100,0.2,0.9,0.05,1,0,12.0589226566724,10.4248450364569,0,0.392973086019447
100,0.2,0.9,0.2,0,0,20.3721566532277,19.2206396419107,0,0.264508393380364
100,0.2,0.9,0.2,1,0,12.2381768477226,11.562200602207,0,0.133090240471533
100,0.2,1,0,0,0,21.5747299710561,20.4707486506895,0,0.158233175867751
100,0.2,1,0,1,0,13.6872041140183,12.3607362390464,0,0.48188122250406
100,0.2,1,0.05,0,0,21.4030009108127,20.3202845761331,0,0.285563108799563
100,0.2,1,0.05,1,0,12.8522889023765,11.2493457646546,0,0.688545143959883
100,0.2,1,0.2,0,0,21.5545940938526,20.6643811165723,0,0.194170513459081
100,0.2,1,0.2,1,0,13.1405766605276,12.221258932282,0,0.21509593740485
