CROSS,MUT,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Eff_1
cross_sequential_constructive,mut_RSM,0.735441479217648,0.2,9.98653051352946,9.20307364174101,0.00274246096399615
cross_sequential_constructive,mut_RSM,0.128649561739679,0.2,12.0361064959734,11.2323403162731,0.00241785347780638
cross_sequential_constructive,mut_RSM,0.349230686464801,0.2,10.9571318112197,9.98422815924476,0.0025907703807629
cross_sequential_constructive,mut_RSM,0.141554251568039,0.2,12.1144073394546,11.3781609458652,0.00241543940459949
cross_sequential_constructive,mut_RSM,0.187418603112263,0.2,11.9897543083076,11.3169803276127,0.00246980574725794
cross_sequential_constructive,mut_RSM,0.841112045494563,0.2,10.1190547728177,9.2420921048504,0.00276392694022266
cross_sequential_constructive,mut_RSM,0.725345760678235,0.2,10.3856883527054,9.17985774132816,0.00271123553221617
cross_sequential_constructive,mut_RSM,0.385389532054774,0.2,11.153841113701,10.1265637434478,0.00258939012420483
cross_sequential_constructive,mut_RSM,0.955199843954519,0.2,9.99793286762452,8.95875671386973,0.00277861350005784
cross_sequential_constructive,mut_RSM,0.131001472452618,0.2,12.0351882163588,10.3431783901617,0.00239023141334729
cross_sequential_constructive,mut_RSM,0.494869923690758,0.2,10.5809192389242,9.91885110252094,0.00265888615085687
cross_sequential_constructive,mut_RSM,0.443402611383708,0.2,10.8086759469486,10.2754286268279,0.00263074497390057
cross_sequential_constructive,mut_RSM,0.788965109334102,0.2,9.94886100821435,9.10234748926429,0.00274679714001749
cross_sequential_constructive,mut_RSM,0.815679911023357,0.2,9.83135223591703,9.47085905392755,0.00275901796785426
cross_sequential_constructive,mut_RSM,0.268185344098941,0.2,11.7270128832677,11.0614214642691,0.00251303452924153
