Comb_idx,NIND,Av_Best,Peak_Best,Fit_var,Eff_1
1,20,3.42976009803972,3.34995426765462,0.00386872525515401,0.0633395289729341
1,50,3.40939632146152,3.34995426765462,0.00751941275256173,0.0265388990012372
1,80,3.3771160723379,3.34995426765462,0.00114232481682823,0.0167886597727873
1,100,3.37153453951662,3.34995426765462,0.000985053035278511,0.0134308502036526
1,120,3.38643186077657,3.34995426765462,0.00118933016337355,0.0112686117083804
2,20,3.41870287542314,3.34995426765462,0.00451898359744127,0.0637307482357808
2,50,3.38137626418295,3.34995426765462,0.00125229310902921,0.0264251916435223
2,80,3.38239038797915,3.34995426765462,0.00204886000543448,0.0168756103013421
2,100,3.40114173898721,3.34995426765462,0.00139829547592964,0.0134941807987464
2,120,3.37398355627754,3.34995426765462,0.00168040995894956,0.0113550057591133
3,20,3.44893263986488,3.34995426765462,0.00807141851177872,0.0635029981399311
3,50,3.3695887686432,3.34995426765462,0.000901699359058137,0.0263492566882595
3,80,3.38343754444193,3.34995426765462,0.00213072523800051,0.0168595051980026
3,100,3.38884074185602,3.34995426765462,0.00326921476465814,0.0135743376257688
3,120,3.3974096480402,3.34995426765462,0.00395333138553027,0.0112512374599974
