Comb_idx,NIND,Av_Best,Peak_Best,Fit_var,Eff_1
1,20,7.49843033048383,6.7392482317506,0.229587497593179,0.020918985830863
1,50,6.60447875314296,6.25521608098306,0.0577132815124498,0.00904279020911619
1,80,6.32216479133826,5.74487483499415,0.125416071583876,0.00585953588197052
1,100,6.41931256530387,6.07667538406965,0.081376438023355,0.0047009601203982
1,120,6.30532854644887,6.00044972106956,0.0522149665206245,0.00397113799433575
2,20,7.59414172518105,7.18326195174642,0.144258836211058,0.0208592689540228
2,50,6.77390080018287,6.34589946756477,0.139203245633045,0.0090843874989333
2,80,6.55141223132764,6.05066852250357,0.118291955727904,0.00587173818308465
2,100,6.26392274496801,5.8369592375698,0.0884746380653361,0.00473528326720624
2,120,6.16620110507031,5.657788091603,0.0731618091529356,0.00392365575502468
3,20,7.65516672790398,6.80824910112487,0.185019842809611,0.0213183832714162
3,50,6.6913975005847,6.21463166489137,0.0816800850071189,0.00905811671444112
3,80,6.48887943559602,5.44072336175296,0.170591211415103,0.00587641570958081
3,100,6.25574964437868,5.84701005754571,0.0978650506346623,0.00474340328189628
3,120,6.15832700526218,5.78971983147356,0.0574411405387116,0.00400803681757373
