CROSS,MUT,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Eff_1
cross_sequential_constructive,mut_RSM,0.864863667399081,0.2,5.28162188032526,5.03728840851945,0.00518951194769528
cross_sequential_constructive,mut_RSM,0.875607645294477,0.2,5.29037123018113,4.9943368566966,0.00519755054676633
cross_sequential_constructive,mut_RSM,0.889804667954238,0.2,5.3567653486597,4.95788618006843,0.00516141251058042
cross_sequential_constructive,mut_RSM,0.822600722182651,0.2,5.27732437081078,4.77219886848528,0.00511218387252907
cross_sequential_constructive,mut_RSM,0.90026683801663,0.2,5.11489255006755,4.78800298945287,0.00525244967478617
cross_sequential_constructive,mut_RSM,0.885075847613708,0.2,5.28552695877017,4.9666261496395,0.00511898888900483
cross_sequential_constructive,mut_RSM,0.896359865655925,0.2,5.23793924292106,4.88375064317216,0.00507947150705847
cross_sequential_constructive,mut_RSM,0.971088637742223,0.2,5.32510514164435,4.92085065056619,0.00520943300439947
cross_sequential_constructive,mut_RSM,0.848660077899151,0.2,5.27735904278544,4.84269734909424,0.00510140109928565
cross_sequential_constructive,mut_RSM,0.97437329582069,0.2,5.38372776338397,4.95890523003274,0.0052184320525299
cross_sequential_constructive,mut_RSM,0.952263594586577,0.2,5.23300628630633,4.78426132182326,0.00523848918619784
cross_sequential_constructive,mut_RSM,0.885662122078471,0.2,5.24334084672,4.72235956376285,0.00518597887170703
cross_sequential_constructive,mut_RSM,0.952100997147787,0.2,5.33997037091203,4.80285621500478,0.00514521402537508
cross_sequential_constructive,mut_RSM,0.879395759201237,0.2,5.33366146779268,4.9102739789854,0.0051270245454493
cross_sequential_constructive,mut_RSM,0.827119980431033,0.2,5.14709477451473,4.74964034311687,0.00516519213201618
