CROSS,MUT,PR_CROSS,PR_MUT,Av_Best,Peak_Best,Eff_1
cross_rand_sequential_constructive,mut_RSM,0.966406888393076,0.0918119113001325,14.9347661666001,13.2517682806384,0.00274741668493231
cross_rand_sequential_constructive,mut_RSM,0.824659853726801,0.0453812452366732,14.2112230029117,12.3611966030944,0.00277074695138871
cross_rand_sequential_constructive,mut_RSM,0.616103876668172,0.165253754584678,13.1289579521717,12.0424548040365,0.00282463108484724
cross_rand_sequential_constructive,mut_RSM,0.584304706198407,0.123630966978296,13.138029107414,11.9604958775498,0.00281099649994112
cross_rand_sequential_constructive,mut_RSM,0.914301659317138,0.0930779709932623,15.1958390348603,13.964907285951,0.00271216656175824
cross_rand_sequential_constructive,mut_RSM,0.616139447415437,0.148874828400153,13.0651303193519,12.387263371984,0.00285651710254569
cross_rand_sequential_constructive,mut_RSM,0.863578640553344,0.116898271143308,14.737950668949,14.0743398583831,0.002734416783205
cross_rand_sequential_constructive,mut_RSM,0.524281003488943,0.18789348492445,12.553213861343,11.2791592466392,0.00286098384494499
cross_rand_sequential_constructive,mut_RSM,0.646769264251845,0.138579424895653,13.2154379433719,12.0234247272312,0.00281763557388382
cross_rand_sequential_constructive,mut_RSM,0.789259287531044,0.166228730274028,13.7176806061462,12.3163592353514,0.00285276678502937
cross_rand_sequential_constructive,mut_RSM,0.555692473190519,0.0324032221724526,13.6696508184947,12.3447284298017,0.00281555632783964
cross_rand_sequential_constructive,mut_RSM,0.974692450624589,0.143500894708386,15.3602641960687,14.4975997136806,0.00269387171667983
cross_rand_sequential_constructive,mut_RSM,0.862452776743054,0.189999429351656,14.5573803892379,13.7549322073582,0.00278532713350091
cross_rand_sequential_constructive,mut_RSM,0.990964604826311,0.00773521900677574,15.2626135128156,13.6530853775488,0.00270629935797296
cross_rand_sequential_constructive,mut_RSM,0.937700383231064,0.138911017707575,15.3059864560328,14.2596528042659,0.00273707380501066
cross_rand_sequential_constructive,mut_RSM,0.671202485818463,0.181096138023896,13.0771701435411,11.9966196144948,0.0028740195073671
cross_rand_sequential_constructive,mut_RSM,0.964664158135195,0.123190867756034,15.3605191047546,14.0851352357448,0.00272096317957375
cross_rand_sequential_constructive,mut_RSM,0.687785935317665,0.197508070051613,13.3792285736637,12.3509306215975,0.00277490239305355
cross_rand_sequential_constructive,mut_RSM,0.823449186867162,0.107546661004193,13.7591268859933,12.5036908614172,0.00279241197206621
cross_rand_sequential_constructive,mut_RSM,0.9503130456541,0.0816162925517313,15.4409578826573,13.9761666585861,0.00275250869779354
cross_sequential_constructive,mut_RSM,0.966406888393076,0.0918119113001325,5.52416793930421,5.12776576544798,0.00513610928072934
cross_sequential_constructive,mut_RSM,0.824659853726801,0.0453812452366732,6.08326602589972,5.54093254033886,0.00502400209411368
cross_sequential_constructive,mut_RSM,0.616103876668172,0.165253754584678,5.65382211532139,5.16020138635259,0.00485109058391432
cross_sequential_constructive,mut_RSM,0.584304706198407,0.123630966978296,5.59928962297488,5.26468222749721,0.00494554075161026
cross_sequential_constructive,mut_RSM,0.914301659317138,0.0930779709932623,5.58540717667676,5.14761807815738,0.00513672171850939
cross_sequential_constructive,mut_RSM,0.616139447415437,0.148874828400153,5.66950848813177,5.24236288812715,0.00494018492322859
cross_sequential_constructive,mut_RSM,0.863578640553344,0.116898271143308,5.41243082847889,5.17957264851867,0.00512370079846774
cross_sequential_constructive,mut_RSM,0.524281003488943,0.18789348492445,5.71158651246413,5.38473461553235,0.00485807571031194
cross_sequential_constructive,mut_RSM,0.646769264251845,0.138579424895653,5.60642473615408,5.23407244578885,0.00497028436019792
cross_sequential_constructive,mut_RSM,0.789259287531044,0.166228730274028,5.37820824197976,4.8981304917484,0.00511125310631915
cross_sequential_constructive,mut_RSM,0.555692473190519,0.0324032221724526,6.532581439902,5.8178830724637,0.00475604514893119
cross_sequential_constructive,mut_RSM,0.974692450624589,0.143500894708386,5.48016479355889,4.86071433422729,0.00507606731461396
cross_sequential_constructive,mut_RSM,0.862452776743054,0.189999429351656,5.33055300098579,4.91017229964957,0.00512156765293071
cross_sequential_constructive,mut_RSM,0.990964604826311,0.00773521900677574,6.12732437592013,5.10869491222279,0.00517165042198487
cross_sequential_constructive,mut_RSM,0.937700383231064,0.138911017707575,5.56423615308869,4.96828626442254,0.00511173864101407
cross_sequential_constructive,mut_RSM,0.671202485818463,0.181096138023896,5.39335529627535,5.048388263573,0.00499952972875355
cross_sequential_constructive,mut_RSM,0.964664158135195,0.123190867756034,5.33105553852999,5.04423545564632,0.00519499003651943
cross_sequential_constructive,mut_RSM,0.687785935317665,0.197508070051613,5.38313326665244,5.03119010539401,0.00509908782007586
cross_sequential_constructive,mut_RSM,0.823449186867162,0.107546661004193,5.52110313174881,5.03245324833673,0.00514460880093271
cross_sequential_constructive,mut_RSM,0.9503130456541,0.0816162925517313,5.59000388497214,5.24630021439759,0.00511409280740957
