Comb_idx,NIND,Av_Best,Peak_Best,Fit_var,Eff_1
1,20,18.6396246523149,17.9868390050974,0.261764280411077,0.0108958223444308
1,50,17.9432161106524,17.0525316520845,0.386163432826661,0.00445361561328005
1,80,17.5019553005296,16.9739047591392,0.169563770813907,0.00281435622421655
1,100,17.3855554524366,16.6626023634302,0.184753962404074,0.00227635026403106
1,120,16.9923122257293,16.3996978799713,0.146619247076931,0.00190069732437262
2,20,19.7012636962287,18.9129549775262,0.28104954509945,0.0107207355347446
2,50,18.1222951352649,17.216181140188,0.367922307452827,0.00445976088724087
2,80,18.0146248696738,17.2249129917084,0.203523672065294,0.00280877531861602
2,100,17.3629296732296,16.6740088479631,0.256375413746714,0.00228951316930088
2,120,17.5908019626846,16.8646933848047,0.187938213040373,0.00188572943644941
3,20,19.638135118829,18.4868234361878,0.443764329584746,0.0107069270668075
3,50,18.1226976636677,17.2755788309976,0.229187467989707,0.00445713572424206
3,80,17.296537178643,16.7538025444654,0.141990711367954,0.00283532582898533
3,100,17.2879134740301,16.6859471059072,0.220618199196528,0.0022876499912818
3,120,17.1949569601468,16.0878555529778,0.345808379546544,0.00190279966488373
