Imp,Av_Best,Peak_Best,NImprovements
impr1,11.1579479427197,10.5859860158843,6000
impr2,12.4606301536886,11.7053865263376,6000
impr3,11.5455154403758,10.6793375687485,6000
impr4,9.9476557061662,8.9260763826209,4325
impr5,7.19609997644807,6.85032527052984,3906
,13.3461263960117,12.2771500183499,0
impr1,10.7432823594501,10.0400662088892,15000
impr2,11.1481790050621,10.4441397350005,15000
impr3,11.5589520735432,10.3846065073357,14999
impr4,9.53673680004828,8.40879828682151,10882
impr5,6.80722236414706,6.34319073399815,9646
,11.8060082634731,10.9419049751441,0
impr1,10.2979591292989,9.32667060563534,24000
impr2,11.0011426413726,10.5362447815685,24000
impr3,11.2257655444025,10.1790818927976,24000
impr4,9.38785223214293,8.80866524838535,17911
impr5,6.99314509806311,6.51868139314993,16516
,11.3643959646224,10.2341256484194,0
impr1,10.684864392881,10.0636989517937,30000
impr2,10.8128961363737,10.3448177288568,30000
impr3,11.4269331756807,10.3412784457439,29999
impr4,9.58029067083802,8.79368264091062,22418
impr5,6.71926453308145,6.40461445782335,19726
,11.1543734950487,9.92864835960935,0
impr1,10.2688005915519,9.07641023804352,36000
impr2,10.7892261789175,10.00756588982,36000
impr3,11.3452868028991,10.67101110302,36000
impr4,9.5880811317562,8.76387067751781,27062
impr5,6.67729342561257,6.55019845615703,23139
,11.116321495805,10.1588051717734,0
