Imp,Av_Best,Peak_Best,Eff_1,NImprovements
impr1,7.43507570588418,6.84496854552819,0.831581742712118,127529
impr2,8.13418769325744,7.2528180269712,0.79057333965553,102070
impr3,6.68909306419821,6.25388484461431,0.820817025781697,138085
impr4,7.07854467182264,6.43521362974525,0.889804552936524,61287
impr5,6.36213226268529,6.02743992986758,1.14287671765424,57945
,8.75561185739013,8.07299620030964,0.763107420151231,0
